variant,k,entity,entity_base,es_LOO,kappa_raw,kappa_used,n_train,d_features,kappa_inf,es_artefacto_standardscaler,genuinamente_singular,motivo_singularidad,historia_corta_registro,oos_MASE,oos_RMSE,oos_Count
baseline,2,BCIE Systemic Hub,BCIE Systemic Hub,False,7084.803782491389,7084.803782491389,55,14,False,False,False,,False,0.12494927811938397,0.17291115670479085,1.0
baseline,2,Guatemala,Guatemala,False,282.95081823245647,282.95081823245647,53,14,False,False,False,,False,2.782790838103555,6.248500828353194,6.0
baseline,2,El Salvador,El Salvador,False,989.5067931423464,989.5067931423464,53,14,False,False,False,,False,0.2081801360888237,0.35063772942164434,4.0
baseline,2,Honduras,Honduras,False,77.59020164732055,77.59020164732055,54,14,False,False,False,,False,0.9185118508144501,1.5849044490042086,6.0
baseline,2,Nicaragua,Nicaragua,False,308.65788655392925,308.65788655392925,49,14,False,False,False,,False,3.225336955193102,8.422575679876427,4.0
baseline,2,Costa Rica,Costa Rica,False,392.11543671760415,392.11543671760415,53,14,False,False,False,,False,0.21574965048308933,0.3204428767288262,6.0
baseline,2,Panamá,Panamá,False,2.2370961239828256e+17,2.2370961239828256e+17,9,14,False,False,False,,False,0.7016792273853637,1.1583449641244827,4.0
baseline,2,República Dominicana,República Dominicana,False,3.93153948481934e+180,3.93153948481934e+180,2,14,False,False,False,,True,,,
baseline,2,Colombia,Colombia,False,4.039245600038499e+17,4.039245600038499e+17,4,14,False,False,False,,False,1.2010279808944226,1.6620435150721935,1.0
baseline,2,__LOO__Guatemala,Guatemala,True,3195.7205555697983,3195.7205555697983,55,14,False,False,False,,False,,,
baseline,2,__LOO__El Salvador,El Salvador,True,4367.926400429935,4367.926400429935,55,14,False,False,False,,False,,,
baseline,2,__LOO__Honduras,Honduras,True,6601.125950799149,6601.125950799149,55,14,False,False,False,,False,,,
baseline,2,__LOO__Nicaragua,Nicaragua,True,3352.8948143406456,3352.8948143406456,55,14,False,False,False,,False,,,
baseline,2,__LOO__Costa Rica,Costa Rica,True,7112.833218293063,7112.833218293063,55,14,False,False,False,,False,,,
baseline,2,__LOO__Panamá,Panamá,True,7015.477185919711,7015.477185919711,55,14,False,False,False,,False,,,
baseline,2,__LOO__República Dominicana,República Dominicana,True,6838.275303990381,6838.275303990381,55,14,False,False,False,,True,,,
