Fecha,Súper,Regular,Diesel,Kerosene,LPG 25 Lbs,Año,Índice,FechaInicioISO
2 al 8 de ene 2017,88.66,80.5,71.53,51.59,240.67,2017,101,2017-01-02
9 al 15 de ene 2017,89.68,81.71,72.11,52.24,240.67,2017,102,2017-01-09
16-22 de ene 2017,90.25,82.45,72.3,52.66,240.67,2017,103,2017-01-16
23-29 de ene 2017,90.53,82.52,72.09,52.75,240.67,2017,104,2017-01-23
30 ene-5 feb 2017,90.43,82.28,71.96,52.85,253.49,2017,105,2017-01-30
6 al 12 de feb 2017,89.75,81.41,71.67,52.82,253.49,2017,106,2017-02-06
13 al 19 de feb 2017,89.06,80.75,71.58,52.97,253.49,2017,107,2017-02-13
20 al 26 de feb 2017,88.59,80.37,71.69,53.18,257.37,2017,108,2017-02-20
27 feb-5 mar 2017,88.53,80.69,72.02,53.56,257.37,2017,109,2017-02-27
6 al 12 marzo 2017,88.32,80.61,72.05,53.61,257.37,2017,110,2017-03-06
13 al 19 marzo 2017,87.87,80.17,71.68,53.15,257.37,2017,111,2017-03-13
20 al 26 marzo 2017,88.07,79.63,70.96,52.35,257.37,2017,112,2017-03-20
27 mar-2 abr 2017,86.89,79.39,70.26,51.56,257.37,2017,113,2017-03-27
3 abril-9 abril 2017,86.56,79.09,69.61,50.88,263.07,2017,114,2017-04-03
10 al 16 abril 2017,87.14,79.61,69.46,50.73,263.07,2017,115,2017-04-10
17 al 23 abril 2017,87.14,80.58,70.24,51.51,263.07,2017,116,2017-04-17
24 al 30 abril 2017,88.65,80.93,70.63,51.89,263.07,2017,117,2017-04-24
1 al 7 de mayo 2017,88.83,81.04,70.86,52.12,263.07,2017,118,2017-05-01
8 al 14 mayo 2017,88.12,79.98,70.25,51.59,263.07,2017,119,2017-05-08
15 al 21 mayo 2017,87.21,78.54,69.3,50.64,263.07,2017,120,2017-05-15
22 al 28 mayo 2017,86.79,77.59,68.62,49.81,263.07,2017,121,2017-05-22
29 may a 4 jun 2017,86.98,77.59,68.77,49.85,263.07,2017,122,2017-05-29
5 al 11 jun 2017,87.31,77.78,68.81,49.81,263.07,2017,123,2017-06-05
12  al 18 jun 2017,87.4,78.12,68.74,49.58,263.07,2017,124,2017-06-12
19  al 25 jun 2017,86.86,78.2,68.43,49.44,263.07,2017,125,2017-06-19
26 jun al 2 jul 2017,85.81,77.67,67.57,48.3,263.07,2017,126,2017-06-26
3 al 9 julio 2017,84.7,77.1,66.65,47.31,263.07,2017,127,2017-07-03
10 al 16 julio 2017,84.48,77.14,66.62,47.31,263.07,2017,128,2017-07-10
17 al 23 julio 2017,84.4,77.25,66.77,47.69,263.07,2017,129,2017-07-17
24 al 30 julio 2017,85.01,77.9,67.3,48.45,263.07,2017,130,2017-07-24
31 jul al 6 ago 2017,85.84,78.58,68.2,49.54,263.07,2017,131,2017-07-31
7 al 13 agosto 2017,86.9,79.18,69.27,50.76,263.07,2017,132,2017-08-07
14 al 20 agos 2017,87.7,79.56,70.21,51.74,263.07,2017,133,2017-08-14
21 al 27 agos 2017,87.96,79.67,70.74,52.31,263.07,2017,134,2017-08-21
28 ago-3 sept 2017,88.23,79.94,71.12,52.76,263.07,2017,135,2017-08-28
4 al 10 de sept 2017,89.29,81.19,71.46,53.97,263.07,2017,136,2017-09-04
11 al 17 sept 2017,91.07,81.49,72.25,55.41,263.07,2017,137,2017-09-11
18 al 24 sept 2017,92.77,81.49,73.08,56.39,263.07,2017,138,2017-09-18
25 sep al 1 oct 2017,93.9,82.06,74.19,57.49,263.07,2017,139,2017-09-25
2 al 8 octubre 2017,94.55,82.32,75.25,58.13,263.07,2017,140,2017-10-02
9 al 15 oct 2017,92.69,80.99,75.25,56.93,263.07,2017,141,2017-10-09
16 al 22 oct 2017,90.84,81.3,75.02,56.09,263.07,2017,142,2017-10-16
23 al 29 oct 2017,90.23,81.91,75.17,55.9,263.07,2017,143,2017-10-23
30 oct al 5 nov 2017,90.61,82.02,75.17,55.75,263.07,2017,144,2017-10-30
06 al 12 nov 2017,91.41,82.89,75.47,55.9,263.07,2017,145,2017-11-06
13 nov-17 dic 2017,91.41,82.89,75.47,55.9,263.07,2017,146,2017-11-13
18 al 31 dic 2017,91.41,82.89,75.47,55.9,263.07,2017,147,2017-12-18
1 al 7 enero 2018,91.97,83.57,76.15,56.96,263.07,2018,201,2018-01-01
8 al 14 enero 2018,92.39,84.59,77.44,58.1,263.07,2018,202,2018-01-08
15 al 21 enero 2018,93.64,85.69,78.92,60.07,263.07,2018,203,2018-01-15
22 al 28 enero 2018,94.66,87.21,80.17,61.77,263.07,2018,204,2018-01-22
29 ene al 4 feb 2018,96.02,88.3,81.11,62.45,263.07,2018,205,2018-01-29
5 al 11 febrero 2018,96.89,88.87,81.45,63.17,263.07,2018,206,2018-02-05
12 al 18 feb 2018,97.27,89.21,81.3,62.9,263.07,2018,207,2018-02-12
19 al 25 feb 2018,96.74,88.46,80.39,62.04,263.07,2018,208,2018-02-19
26 feb-4 mar 2018,96.21,87.85,80.01,61.66,263.07,2018,209,2018-02-26
5 al 11 mar 2018,95.42,87.21,79.45,61.17,271.07,2018,210,2018-03-05
12 al 18 mar 2018,94.74,86.41,78.84,60.67,271.07,2018,211,2018-03-12
19 al 25 mar 2018,94.28,86.22,78.65,60.48,271.07,2018,212,2018-03-19
26 mar-1 abr 2018,95.19,87.21,79.07,60.71,271.07,2018,213,2018-03-26
2 al 8 abril 2018,95.84,87.66,79.07,61.2,273.6,2018,214,2018-04-02
9 al 15 abril 2018,96.48,88.15,79.33,61.73,273.6,2018,215,2018-04-09
16 al 22 abril 2018,96.48,88.15,80.32,62.34,273.6,2018,216,2018-04-16
23 al 29 abril 2018,97.2,88.6,81.42,63.59,273.6,2018,217,2018-04-23
30 abril 6 mayo 2018,97.46,89.02,82.05,64.42,273.6,2018,218,2018-04-30
7 al 13 mayo 2018,98.52,90.01,83.0,65.18,273.6,2018,219,2018-05-07
14 al 20 mayo 2018,99.32,91.13,84.06,66.31,273.6,2018,220,2018-05-14
21 al 27 mayo 2018,100.42,92.43,85.35,67.52,273.6,2018,221,2018-05-21
28 may-3 jun 2018,101.32,93.15,86.26,68.28,276.42,2018,222,2018-05-28
4 al 10 jun 2018,101.55,93.34,86.64,68.58,288.12,2018,223,2018-06-04
11 al 17 jun 2018,101.89,93.22,86.9,68.85,288.12,2018,224,2018-06-11
18 al 24 jun 2018,101.81,92.72,86.64,68.61,288.12,2018,225,2018-06-18
25 jun al 1 jul 2018,101.21,91.7,85.89,68.11,288.12,2018,226,2018-06-25
2 al 8 de julio 2018,100.55,91.36,85.4,67.69,288.12,2018,227,2018-07-02
9 al 15 de julio 2018,100.35,91.34,85.3,67.49,288.12,2018,228,2018-07-09
16 al 22 julio 2018,100.45,91.79,85.35,67.56,288.12,2018,229,2018-07-16
23 al 29 julio 2018,100.42,91.78,85.25,67.51,288.12,2018,230,2018-07-23
30 jul – 5 agos 2018,100.53,91.79,85.23,67.56,290.85,2018,231,2018-07-30
6-12 agosto 2018,100.9,92.2,85.23,67.64,290.85,2018,232,2018-08-06
13-19 agosto 2018,100.68,92.47,84.86,67.41,290.85,2018,233,2018-08-13
20-26 agosto 2018,100.68,92.5,84.86,67.45,290.85,2018,234,2018-08-20
27 agosto- 2 sept 2018,100.68,92.81,85.09,67.79,290.85,2018,235,2018-08-27
3-9 sept 2018,100.68,92.88,85.43,68.05,297.86,2018,236,2018-09-03
10-16 sept 2018,100.64,92.92,85.99,68.92,297.86,2018,237,2018-09-10
17-23 sept 2018,100.79,93.15,86.49,69.11,297.86,2018,238,2018-09-17
24-30 sept 2018,101.29,93.53,87.24,69.61,297.86,2018,239,2018-09-24
1-7 octubre 2018,101.89,93.87,87.81,69.95,308.69,2018,240,2018-10-01
8-14 octubre 2018,102.8,94.4,88.64,70.59,308.69,2018,241,2018-10-08
15-21 octubre 2018,103.48,94.78,89.48,71.31,308.69,2018,242,2018-10-15
22-28 octubre 2018,103.33,94.51,89.93,71.65,308.69,2018,243,2018-10-22
29 oct-4 nov 2018,103.03,94.13,90.16,71.88,308.69,2018,244,2018-10-29
5 al 11 nov 2018,101.82,93.03,90.01,71.76,308.69,2018,245,2018-11-05
12 al 18 nov 2018,98.83,90.2,88.95,70.7,308.69,2018,246,2018-11-12
19 al 25 nov 2018,96.74,88.04,87.62,69.38,308.69,2018,247,2018-11-19
26 nov-2 dic 2018,95.07,86.22,86.3,68.09,308.69,2018,248,2018-11-26
3 al 9 dic 2018,93.3,84.44,84.44,67.79,290.73,2018,249,2018-12-03
10 al 16 dic 2018,92.2,83.38,83.0,67.26,290.73,2018,250,2018-12-10
17 al 23 dic 2018,90.92,82.32,81.07,66.16,290.73,2018,251,2018-12-17
24 al 30 dic 2018,89.78,81.26,79.14,65.1,290.73,2018,252,2018-12-24
1 ene  6 Ene 2019,89.76,80.24,78.12,64.04,278.24,2019,253,2019-01-01
7 al 13 enero 2019,88.47,79.45,76.49,62.94,278.24,2019,301,2019-01-07
14 al 20 enero 2019,86.98,78.99,76.38,62.41,278.24,2019,302,2019-01-14
21 al 27 enero 2019,86.87,78.8,76.65,62.19,278.24,2019,303,2019-01-21
28 ene – 3 feb 2019,87.36,78.8,77.33,62.79,278.24,2019,304,2019-01-28
4 al 10 febrero 2019,87.93,79.33,78.31,63.74,278.24,2019,305,2019-02-04
11 al 17 febrero 2019,88.8,80.13,79.64,64.99,278.24,2019,306,2019-02-11
18 al 24 febrero 2019,89.44,80.66,80.2,65.4,278.24,2019,307,2019-02-18
25 feb al 3 mar 2019,90.04,81.23,80.81,65.4,278.24,2019,308,2019-02-25
4 al 10 marzo 2019,91.03,82.47,81.6,65.4,278.24,2019,309,2019-03-04
11 al 17 marzo 2019,92.28,83.8,82.21,65.9,278.24,2019,310,2019-03-11
18 al 24 marzo 2019,94.1,85.5,82.74,66.28,278.24,2019,311,2019-03-18
25 al 31 marzo 2019,96.02,86.9,83.08,66.43,278.24,2019,312,2019-03-25
1 al 7 abril 2019,97.62,87.81,83.08,66.43,278.24,2019,313,2019-04-01
8 al 14 de abril 2019,99.09,88.91,83.08,66.43,278.24,2019,314,2019-04-08
15 al 21 de abril 2019,100.34,90.2,83.19,66.5,278.24,2019,315,2019-04-15
22 al 28 de abril 2019,101.13,91.18,83.69,67.03,278.24,2019,316,2019-04-22
29 abril-5 mayo 2019,101.48,91.93,84.14,67.49,278.24,2019,317,2019-04-29
6 al 12 de mayo 2019,101.74,92.73,84.56,67.87,278.24,2019,318,2019-05-06
13-19 de mayo 2019,101.48,92.54,84.82,66.24,278.24,2019,319,2019-05-13
20-26 de mayo 2019,100.79,92.01,84.93,66.58,278.24,2019,320,2019-05-20
27 mayo-2 junio 2019,99.77,91.33,84.71,66.54,278.24,2019,321,2019-05-27
3 al 9 junio 2019,99.09,90.73,84.25,66.24,278.24,2019,322,2019-06-03
10 al 16 junio 2019,98.03,89.7,83.16,65.21,278.24,2019,323,2019-06-10
17 al 23 junio 2019,97.05,88.64,82.1,64.19,278.24,2019,324,2019-06-17
24 al 30 junio 2019,95.76,86.6,80.58,63.06,278.24,2019,325,2019-06-24
1 al 7 julio 2019,95.19,85.84,79.71,62.19,257.69,2019,326,2019-07-01
8 al 14 julio 2019,95.8,85.88,79.86,62.41,257.69,2019,327,2019-07-08
15 al 21 julio 2019,97.05,86.71,80.39,63.17,257.69,2019,328,2019-07-15
22 al 28 julio 2019,98.33,87.81,81.0,64.04,257.69,2019,329,2019-07-22
