fuel,k,T,kappa_raw,kappa_ledoitwolf
Súper,2,20,202.94721466311816,2.973991706515001
Súper,2,40,259.3858301466304,8.518771647362673
Súper,2,80,303.93277073428965,8.990223308162799
Súper,2,120,303.3088385864678,9.02039955410063
Súper,2,200,253.8052154927048,12.491166837206508
Súper,2,300,43.634595404346996,9.70014905808305
Súper,2,400,99.6546873919839,13.247403980360016
Súper,3,20,5818.653827404724,7.002421055061398
Súper,3,40,4779.808333849429,15.988869251732499
Súper,3,80,3141.235521902802,16.24167738374198
Súper,3,120,2899.4633537440195,16.347413587446184
Súper,3,200,2132.016659373827,23.995300879606404
Súper,3,300,165.58782256441924,23.71264852365433
Súper,3,400,334.159309903196,25.67195837924585
Regular,2,20,446.8192615309333,5.7089537211521675
Regular,2,40,420.329388233985,11.432389801844645
Regular,2,80,357.22045166396856,11.983634294909368
Regular,2,120,330.5370020090045,11.718193657011822
Regular,2,200,205.6179139875589,15.731842641110985
Regular,2,300,36.56177729854157,3.826172661003862
Regular,2,400,121.8944648058725,8.894325382592775
Regular,3,20,13231.768803722443,11.875162495736697
Regular,3,40,4511.795229138732,23.342864015794756
Regular,3,80,2134.5060212179287,23.71014977603628
Regular,3,120,1907.607776792554,23.06814816187757
Regular,3,200,1026.0225148566228,31.347140389476404
Regular,3,300,111.45583016412256,9.827132805438085
Regular,3,400,341.06967228297276,16.46692914312099
Diesel,2,20,1592.6275410434296,4.363092621246672
Diesel,2,40,100.86341689042749,4.983916275411689
Diesel,2,80,181.2966461806128,5.741804024402172
Diesel,2,120,235.52260699942795,5.964033480300718
Diesel,2,200,154.9746970985001,6.191267881867449
Diesel,2,300,64.0046844308872,5.765271302307548
Diesel,2,400,71.28134154746098,6.874888541406938
Diesel,3,20,12318.898582804099,7.6755409506389265
Diesel,3,40,1388.3955077840906,7.943279964476779
Diesel,3,80,1543.6624449698927,9.40609276442032
Diesel,3,120,1566.7203832613027,9.85039559783855
Diesel,3,200,914.5276696207882,10.527881230937433
Diesel,3,300,272.869238547951,9.695239053382505
Diesel,3,400,301.0385097978518,12.006362541112868
Kerosene,2,20,263.5367288636937,2.215911295066049
Kerosene,2,40,78.26225834515034,6.420237860268117
Kerosene,2,80,160.53413167301497,7.307956779251982
Kerosene,2,120,214.06016537986494,7.434231630473943
Kerosene,2,200,143.24578984127888,7.671793808503405
Kerosene,2,300,108.93037421614912,7.910884117589949
Kerosene,2,400,111.69153002305724,15.259980061020878
Kerosene,3,20,9760.14060333373,3.550649600491836
Kerosene,3,40,219.07246307204474,9.806279401349945
Kerosene,3,80,404.723849811145,11.696512383046809
Kerosene,3,120,546.6265586247637,12.040928488692572
Kerosene,3,200,372.45180325550996,12.711606304841265
Kerosene,3,300,280.24908145836184,13.138036685213116
Kerosene,3,400,327.36483963555213,28.359755857608942
