entity,t0,mode,history_size,y_test,yhat_original,evaluable,residual_variance,smearing_factor,yhat_smearing,qlike_original,qlike_smearing,qlike_reduction,improved
ARS,500,ssrc_log,0,4.060009138105232e-08,1.3977821817766191e-06,False,,,,,,,False
ARS,520,ssrc_log,1,1.4340948817168924e-06,6.923710697518574e-07,False,,,,,,,False
ARS,540,ssrc_log,2,2.679617174793674e-06,1.2783882914134045e-06,False,,,,,,,False
ARS,560,ssrc_log,3,2.2176884827820942e-06,1.1752147869597252e-06,False,,,,,,,False
ARS,580,ssrc_log,4,5.173839693197534e-06,1.5345887952448222e-06,False,,,,,,,False
ARS,600,ssrc_log,5,1.2450288823793005e-08,1.2416822821621414e-06,False,,,,,,,False
ARS,620,ssrc_log,6,9.148878495006422e-06,1.296795409359904e-06,False,,,,,,,False
ARS,640,ssrc_log,7,5.508124499564346e-06,1.9191196068962474e-06,False,,,,,,,False
ARS,660,ssrc_log,8,1.4482390922929451e-09,1.5935334317367246e-06,False,,,,,,,False
ARS,680,ssrc_log,9,2.9876538847756274e-05,1.7134492094176568e-06,False,,,,,,,False
ARS,700,ssrc_log,10,6.241703898268344e-10,1.5320067520624573e-06,False,,,,,,,False
ARS,720,ssrc_log,11,6.769783272416681e-08,1.86488099102492e-07,False,,,,,,,False
ARS,740,ssrc_log,12,9.462764616361937e-08,1.1780242220530037e-06,False,,,,,,,False
ARS,760,ssrc_log,13,9.602871558976129e-09,1.409835393059939e-07,False,,,,,,,False
ARS,780,ssrc_log,14,7.365616533417422e-05,1.0464110557050783e-06,False,,,,,,,False
ARS,800,ssrc_log,15,5.687726882865312e-10,1.1116763895122263e-06,False,,,,,,,False
ARS,820,ssrc_log,16,8.030230847777673e-08,1.1430151716933977e-06,False,,,,,,,False
ARS,840,ssrc_log,17,3.1101500743419075e-08,1.0334638486838504e-06,False,,,,,,,False
ARS,860,ssrc_log,18,1.3153430125525737e-07,1.1233879361299723e-06,False,,,,,,,False
ARS,880,ssrc_log,19,3.2661959218500235e-06,9.712955006727164e-07,False,,,,,,,False
ARS,900,ssrc_log,20,2.3583767632808557e-07,9.840629840094017e-07,True,11.81224786320458,367.2797912606303,0.0003614630753334121,0.6682032422262352,6.335423869259397,-5.667220627033162,False
ARS,920,ssrc_log,21,1.9910848482195738e-07,9.207739597450624e-07,True,11.221880189455442,273.40114020009173,0.00025176789057487347,0.7476051025553163,6.143203888312697,-5.395598785757381,False
ARS,940,ssrc_log,22,8.008230099223363e-06,8.386533523631988e-07,True,10.687558961623987,209.30227120197904,0.0001755528816278913,6.2924880228831634,2.1330877374372514,4.159400285445912,True
ARS,960,ssrc_log,23,6.718544003913009e-06,8.783544965824255e-07,True,10.814604774523792,223.0291292261235,0.00019592084143755105,4.614435430964238,2.4071313777675654,2.2073040531966726,True
ARS,980,ssrc_log,24,2.937334038578351e-06,8.511078213316839e-07,True,10.817414430821131,223.34266700661848,0.00019011092499311147,1.2124702639051606,3.1855559697025617,-1.9730857057974012,False
ARS,1000,ssrc_log,25,7.0534119857659e-06,8.367815855483257e-07,True,10.603483589582924,200.68605965928697,0.00016795036780510995,5.297511450232892,2.212154038979455,3.0853574112534368,True
ARS,1020,ssrc_log,26,3.4696485267960625e-07,8.864571569406997e-07,True,10.580291144338554,198.37230079375507,0.00017586828300749678,0.329415538987738,5.230239983810132,-4.900824444822394,False
ARS,1040,ssrc_log,27,1.793502014192373e-06,8.337041198257153e-07,True,10.173402510407971,161.85506191067066,0.0001349553174357634,0.38519838081941815,3.334063199376235,-2.948864818556817,False
ARS,1060,ssrc_log,28,1.3761018987837506e-08,8.619071169732525e-07,True,9.904442876535459,141.48892398111232,0.00012196435944460634,3.1532734073248667,8.089757089422283,-4.936483682097417,False
ARS,1080,ssrc_log,29,3.116958003570436e-06,7.932404092103599e-07,True,9.908377714216233,141.76756596872775,0.00011246983879838718,1.5609124489216297,2.6135412821866644,-1.0526288332650346,False
