entity,k,T,D_features,n_rows,kappa_raw,kappa_lw,well_conditioned
MXN,2,30,6,29,12.560546719314422,1.0,True
MXN,2,60,6,59,4.8260812168548,1.4224079333791289,True
MXN,2,120,6,119,7.224578506739835,1.502990052566195,True
MXN,2,250,6,249,7.455533442093291,2.5505912747301487,True
MXN,2,500,6,499,11.769930090842237,2.937046244356389,True
MXN,2,1000,6,999,10.185925965051197,4.687785532579092,True
MXN,2,2000,6,1999,11.002657301439628,5.225906726084048,True
MXN,2,3000,6,2999,13.176330016241561,2.747661782235702,True
MXN,3,30,10,28,45.577627351609955,1.0659427281083993,True
MXN,3,60,10,58,12.98087216333387,1.9765212117367073,True
MXN,3,120,10,118,9.391907490197612,1.3592884891139545,True
MXN,3,250,10,248,9.112594224621416,2.5887442771284244,True
MXN,3,500,10,498,14.216482934583354,3.399661272533697,True
MXN,3,1000,10,998,13.004304663985044,5.281537685195006,True
MXN,3,2000,10,1998,13.741330794251171,6.3538114342335925,True
MXN,3,3000,10,2998,15.395233256317438,3.146748037102303,True
BRL,2,30,6,29,2.096411776760689,1.0,True
BRL,2,60,6,59,6.612577581933784,1.0,True
BRL,2,120,6,119,4.02852295219468,1.7167068179103604,True
BRL,2,250,6,249,5.794817143347245,3.064443681049417,True
BRL,2,500,6,499,6.716170155856735,3.6371494976866368,True
BRL,2,1000,6,999,4.528818836316043,3.4321800161209963,True
BRL,2,2000,6,1999,6.76187173453265,3.178443496390272,True
BRL,2,3000,6,2999,8.480956998773477,5.453219941868613,True
BRL,3,30,10,28,10.029860528916169,1.0,True
BRL,3,60,10,58,12.532967621395034,1.0,True
BRL,3,120,10,118,6.778132468463253,1.6703796540067448,True
BRL,3,250,10,248,9.373587986599667,3.6403735380746203,True
BRL,3,500,10,498,9.656707293937638,4.040722695080287,True
BRL,3,1000,10,998,5.4793682234644185,3.7978976104927265,True
BRL,3,2000,10,1998,8.036497789207047,3.3634984205871374,True
BRL,3,3000,10,2998,10.118997670772014,6.366794161689995,True
COP,2,30,6,29,61.24992206789627,1.0,True
COP,2,60,6,59,20.97750699239502,1.0,True
COP,2,120,6,119,8.185164247978346,2.054613155825684,True
COP,2,250,6,249,8.52477282414469,2.9349961615968923,True
COP,2,500,6,499,8.568101770468997,3.3028362484180356,True
COP,2,1000,6,999,5.3101237026960595,3.714770014079345,True
COP,2,2000,6,1999,7.456381716251903,4.11524512351576,True
COP,2,3000,6,2999,37243.86515335414,15.01668844600797,False
COP,3,30,10,28,242.88772260037885,1.0,False
COP,3,60,10,58,97.5420445985866,1.0324675467453828,True
COP,3,120,10,118,18.65811103936659,2.0273628109764728,True
COP,3,250,10,248,17.912910186705005,3.5235083124992626,True
COP,3,500,10,498,11.504184911483437,3.61148725450902,True
COP,3,1000,10,998,6.175141535394282,3.9778206313025053,True
COP,3,2000,10,1998,8.293546136654555,4.548380537450706,True
COP,3,3000,10,2998,216895.28767576077,18.239277251876622,False
CLP,2,30,6,29,7.254040842784369,1.3297660008590255,True
CLP,2,60,6,59,11.54507209192005,1.0,True
CLP,2,120,6,119,6.884383912528131,1.889529723734509,True
CLP,2,250,6,249,6.049343789331502,2.438662198465645,True
CLP,2,500,6,499,6.639803600880704,4.298702501889054,True
CLP,2,1000,6,999,5.448601783502107,4.572904796853085,True
CLP,2,2000,6,1999,17.518973252640308,1.0,True
CLP,2,3000,6,2999,530181.0565339681,1.0,False
CLP,3,30,10,28,8.894098234158353,1.6658405682197879,True
CLP,3,60,10,58,16.41827922745368,1.0,True
CLP,3,120,10,118,9.11005219742032,1.9416854274493778,True
CLP,3,250,10,248,8.131213548203856,2.5412137986217456,True
CLP,3,500,10,498,8.79542056487914,4.970950683317847,True
CLP,3,1000,10,998,6.1186035089952275,5.017668257083858,True
CLP,3,2000,10,1998,19.387211967488867,1.0,True
CLP,3,3000,10,2998,54151025.37836803,1.0,False
PEN,2,30,6,29,9.74558128718727,2.5897009159991518,True
PEN,2,60,6,59,8.379213790809725,2.4980118915328577,True
PEN,2,120,6,119,5.8569013667666665,2.639918059687865,True
PEN,2,250,6,249,6.335393098796498,4.07222145414215,True
PEN,2,500,6,499,7.265500761710668,5.179224103121396,True
PEN,2,1000,6,999,8.100948090216729,7.052105787005106,True
PEN,2,2000,6,1999,22.117939435416996,2.551414915733658,True
PEN,2,3000,6,2999,27.80163247275805,4.232784048663958,True
PEN,3,30,10,28,111.30249623618974,4.487988602117217,False
PEN,3,60,10,58,29.093414004994283,4.504180204120185,True
PEN,3,120,10,118,14.720264467683984,4.28364583810859,True
PEN,3,250,10,248,18.522431622441704,7.9295794956094765,True
PEN,3,500,10,498,19.715430094823358,9.982074887826805,True
PEN,3,1000,10,998,20.674275723346547,15.259535960185087,True
PEN,3,2000,10,1998,54.08292449826975,3.6152476694320863,True
PEN,3,3000,10,2998,64.06052937789583,5.761685619811997,True
ARS,2,30,6,29,209.63533548912056,1.0,False
ARS,2,60,6,59,105.01944595532177,1.0,False
ARS,2,120,6,119,27.56595442700773,1.1226205793884303,True
ARS,2,250,6,249,10.59971423482543,3.348607076856586,True
ARS,2,500,6,499,32.25969889958563,1.1529400456017094,True
ARS,2,1000,6,999,25659.46637704605,1.0,False
ARS,2,2000,6,1999,7102.393837649408,1.0,False
ARS,2,3000,6,2999,4923.575732130341,1.0,False
ARS,3,30,10,28,2202.1753193325085,1.0,False
ARS,3,60,10,58,277.4184205702999,1.0,False
ARS,3,120,10,118,51.71607830258088,1.3177049440193211,True
ARS,3,250,10,248,18.73482320724235,4.220652489576045,True
ARS,3,500,10,498,47.72363979874804,1.226322963939826,True
ARS,3,1000,10,998,29623.415914935442,1.0,False
ARS,3,2000,10,1998,11700.902838827564,1.0,False
ARS,3,3000,10,2998,5195.636617627191,1.0,False
GTQ,2,30,6,29,30.479071835747412,3.0353877103246227,True
GTQ,2,60,6,59,23.659476028663615,5.221473681159541,True
GTQ,2,120,6,119,14.991986388620933,5.710682344323266,True
GTQ,2,250,6,249,18.628825541808688,7.434401727469167,True
GTQ,2,500,6,499,49.13205308644605,6.381599588602167,True
GTQ,2,1000,6,999,36.46359132725621,13.743211771050943,True
GTQ,2,2000,6,1999,54.25832108745543,7.323732964511756,True
GTQ,2,3000,6,2999,57.90457845193674,7.408934244040085,True
GTQ,3,30,10,28,103.53974693271259,4.102808746518516,False
GTQ,3,60,10,58,100.03822029539002,7.394948435583154,False
GTQ,3,120,10,118,81.8973452979314,9.88746047502001,True
GTQ,3,250,10,248,79.69435882958983,12.851731280540164,True
GTQ,3,500,10,498,393.5228787772948,9.268774126066994,False
GTQ,3,1000,10,998,139.1151048373706,23.41341602170144,False
GTQ,3,2000,10,1998,100.27950172612489,8.683160797234663,False
GTQ,3,3000,10,2998,103.3090860506418,9.769925576463534,False
BTC,2,30,6,29,18.256513524623077,1.0,True
BTC,2,60,6,59,3.0893744231397045,1.0,True
BTC,2,120,6,119,6.4813085449890915,1.0194744266702036,True
BTC,2,250,6,249,31.16590571466399,1.0,True
BTC,2,500,6,499,18.033054124309842,1.0711890692192074,True
BTC,2,1000,6,999,8.025974642954056,3.327584513933283,True
BTC,2,2000,6,1999,7.690148439556144,5.566520712476397,True
BTC,2,3000,6,2999,23.748947688778937,1.0,True
BTC,3,30,10,28,41.6264606166347,1.6957480046041213,True
BTC,3,60,10,58,7.738458946590986,1.0,True
BTC,3,120,10,118,10.162476276871196,1.0506289100945851,True
BTC,3,250,10,248,38.010153211236045,1.0,True
BTC,3,500,10,498,21.226171673434855,1.1054657903908047,True
BTC,3,1000,10,998,9.17033949695713,3.7028956277936134,True
BTC,3,2000,10,1998,8.939899643197554,6.248366232396899,True
BTC,3,3000,10,2998,25.92282567043777,1.2709819840927212,True
ETH,2,30,6,29,8.32650351180667,1.0,True
ETH,2,60,6,59,3.5762314837802363,1.0,True
ETH,2,120,6,119,10.293977391199808,1.106648713396458,True
ETH,2,250,6,249,11.496219724911722,1.192040523734475,True
ETH,2,500,6,499,8.015535008860253,2.9515784678976043,True
ETH,2,1000,6,999,6.831572789864416,4.143196140873324,True
ETH,2,2000,6,1999,9.354461570830066,4.304979545510901,True
ETH,2,3000,6,2999,18.443973827204804,1.7272008449139065,True
