mode,n_windows,pooled_median,pooled_mean,pooled_p95,pooled_p99,pooled_max,median_of_per_series_means,n_paired_windows__vs_ewma_0.94,mean_diff__vs_ewma_0.94,boot_mean_diff__vs_ewma_0.94,ci95_lo__vs_ewma_0.94,ci95_hi__vs_ewma_0.94,frac_mode_beats_baseline__vs_ewma_0.94,n_mode_wins__vs_ewma_0.94,n_ties__vs_ewma_0.94,sign_test_p_value__vs_ewma_0.94,n_paired_windows__vs_garch_11,mean_diff__vs_garch_11,boot_mean_diff__vs_garch_11,ci95_lo__vs_garch_11,ci95_hi__vs_garch_11,frac_mode_beats_baseline__vs_garch_11,n_mode_wins__vs_garch_11,n_ties__vs_garch_11,sign_test_p_value__vs_garch_11
ewma_0.94,1485,1.1571915482955646,2.4138887711050376,8.409175073666088,14.849806439663281,218.2090768300944,2.3591162319162158,,,,,,,,,,1482.0,-0.21239539167567797,-0.2142614570704689,-0.39687248876578735,-0.03641678540337616,0.5836707152496626,865.0,0.0,1.269640429377494e-10
gjr_garch_11,1482,1.286948966130316,2.620002377164391,8.8046316648274,13.338739174657714,158.57544149303502,2.4564836201838407,1482.0,0.20448084111766823,0.20165325302570808,0.02917442758764558,0.380576188636051,0.43454790823211875,644.0,0.0,5.160281004925509e-07,1480.0,-0.008111550235008159,-0.006644160876973599,-0.07518359397308398,0.06662841802606065,0.5432432432432432,804.0,1.0,0.0008677702193915436
garch_11,1482,1.3157563314049021,2.6256994821726245,8.806821238289777,13.30227799781172,172.4862399482251,2.383026130204248,1482.0,0.21239539167567797,0.21037712574401912,0.028711029500666226,0.41286929377510956,0.41632928475033737,617.0,0.0,1.269640429377494e-10,,,,,,,,,
nnls_nonneg,1485,1.4497788597319214,2.870721114660236,9.006099821003971,13.680276209576913,268.5557226928359,2.5652346158946955,1485.0,0.4568323435551988,0.4564692841024391,0.2654023523860874,0.6602873954151094,0.4067340067340067,604.0,0.0,6.836711645028848e-13,1482.0,0.23890893554899767,0.2385340486941361,0.117682320025891,0.3936203538257269,0.45883940620782726,680.0,0.0,0.0016625992010076663
ridge_clip,1485,1.4747599618168064,4636.693065989427,9.436592643292041,20.543362737970053,3432631.4892464792,3.471620482735613,1485.0,4634.279177218321,4545.5034099099485,321.95718591175284,10326.976889938182,0.3865319865319865,574.0,0.0,2.0124350922048826e-18,1482.0,4643.441513362341,4660.116008213578,353.3634564622509,10999.217793964324,0.39068825910931176,579.0,0.0,3.649870885783513e-17
ols_clip_legacy,1485,1.47548165588108,21023.025084963447,14.806157794823982,362814.82782203105,4458373.0585763445,18551.783777375425,1485.0,21020.61119619234,21056.775874312953,10777.538806180466,33680.225816354265,0.4026936026936027,598.0,0.0,6.533816249450274e-14,1482.0,21062.94515710592,21338.136384606205,10980.1609523442,33561.26239518193,0.4298245614035088,637.0,0.0,7.221280639785962e-08
nnls_signed_clip_legacy,1485,1.489750591956784,19733.525312206948,11.270129714379244,111597.3428800711,14452077.247040672,66.11840771423233,1485.0,19731.111423435847,19605.462243588827,4495.420815071388,43593.208526231654,0.3925925925925926,583.0,0.0,1.1942091957385784e-16,1482.0,19770.834492317117,19841.66457133066,4765.453334845084,44187.87933835932,0.407557354925776,604.0,0.0,1.1486644204348433e-12
ssrc_log,1485,1.5013145772142955,1027.8843280452197,46.95942545491986,234.9706564652495,1154369.3300756835,14.328773776203665,1485.0,1025.4704392741144,1050.5713838739946,13.18054439704697,2804.6378019811073,0.5474747474747474,813.0,0.0,0.000277452734391769,1482.0,1027.3392045654589,1034.2789656413022,13.367603117949427,2826.388638063071,0.5695006747638327,844.0,0.0,9.640491167553353e-08
softplus_ridge,1485,1.519172636637121,2456.4819272642326,9.861529295322615,20.84855154880076,3432631.4892464792,3.497299990434773,1485.0,2454.0680384931275,2512.2092499096116,35.13587936521048,7227.048846213221,0.45252525252525255,672.0,0.0,0.000277452734391769,1482.0,2458.8171421502607,2449.5220669894143,32.99212131424691,7221.238375598764,0.4939271255060729,732.0,0.0,0.6587962930145378
log_ridge,1485,1.5613375692750155,785.2529753232519,43.61419270345374,209.5882390222809,1127141.677336587,12.18680960663807,1485.0,782.8390865521468,801.7369637576262,10.246269588443118,2314.8601887706336,0.54006734006734,802.0,0.0,0.0021873609643021812,1482.0,784.2162731424975,813.6683815099825,10.5081873298131,2332.711825184868,0.5681511470985156,842.0,0.0,1.7044661980104913e-07
naive,1485,1.77885608009341,14545.141984242293,431.7107275638876,45680.524911597975,5780768.442707284,2579.498550807065,1485.0,14542.728095471184,14769.023498157405,4611.645489743632,27788.83541831306,0.4498316498316498,668.0,0.0,0.00012125792970633242,1482.0,14571.95515975878,14581.389429775274,4572.548423380726,27217.023033116973,0.4777327935222672,708.0,0.0,0.09129038411229065
