degree,expected_exponent,location,sign,magnitude,trace_per_feature
2,4,4000,-1,5.0,1048.474843658358
2,4,4000,-1,10.0,3598.741570063544
2,4,4000,-1,20.0,48647.29559446524
2,4,4000,-1,40.0,807563.8647389016
2,4,4000,-1,80.0,13272893.87788445
2,4,4000,1,5.0,1248.215746498629
2,4,4000,1,10.0,5139.124889367818
2,4,4000,1,20.0,60855.27434206365
2,4,4000,1,40.0,904997.5191060172
2,4,4000,1,80.0,14051902.761594031
2,4,9000,-1,5.0,1154.3178602582593
2,4,9000,-1,10.0,4043.571281828136
2,4,9000,-1,20.0,51999.49707901709
2,4,9000,-1,40.0,835001.022669219
2,4,9000,-1,80.0,13496402.755269932
2,4,9000,1,5.0,1235.3731533771436
2,4,9000,1,10.0,4678.539140949672
2,4,9000,1,20.0,57052.29098033035
2,4,9000,1,40.0,875369.4759364068
2,4,9000,1,80.0,13819242.585520802
2,4,14000,-1,5.0,1026.6182692070004
2,4,14000,-1,10.0,2713.2462788969005
2,4,14000,-1,20.0,39457.00435620563
2,4,14000,-1,40.0,725746.8410823962
2,4,14000,-1,80.0,12584098.29553993
2,4,14000,1,5.0,1680.9513899244316
2,4,14000,1,10.0,7284.747353199096
2,4,14000,1,20.0,74702.68516774864
2,4,14000,1,40.0,1005059.6320089911
2,4,14000,1,80.0,14813295.31182119
3,6,4000,-1,5.0,3414.7262566115955
3,6,4000,-1,10.0,115470.02277189976
3,6,4000,-1,20.0,8538978.31914616
3,6,4000,-1,40.0,594049835.2962049
3,6,4000,-1,80.0,39663320534.58885
3,6,4000,1,5.0,7114.93522422281
3,6,4000,1,10.0,226090.97894863426
3,6,4000,1,20.0,12017906.184892835
3,6,4000,1,40.0,704890671.3735992
3,6,4000,1,80.0,43206353816.51104
3,6,9000,-1,5.0,4193.240255444618
3,6,9000,-1,10.0,140921.54311159076
3,6,9000,-1,20.0,9443319.182897652
3,6,9000,-1,40.0,624657930.814151
3,6,9000,-1,80.0,40671000598.131615
3,6,9000,1,5.0,5653.807954279982
3,6,9000,1,10.0,186196.56434860625
3,6,9000,1,20.0,10880632.920075532
3,6,9000,1,40.0,670560511.3017884
3,6,9000,1,80.0,42139152373.79397
3,6,14000,-1,5.0,2527.0491474582923
3,6,14000,-1,10.0,60330.65129006077
3,6,14000,-1,20.0,6154889.698319462
3,6,14000,-1,40.0,505420190.7112939
3,6,14000,-1,80.0,36606810250.810524
3,6,14000,1,5.0,17186.91326325804
3,6,14000,1,10.0,407488.72065545386
3,6,14000,1,20.0,16346902.604600947
3,6,14000,1,40.0,824345471.8956338
3,6,14000,1,80.0,46754900655.557304
4,8,4000,-1,5.0,20152.788130194825
4,8,4000,-1,10.0,5638943.096903436
4,8,4000,-1,20.0,1800945716.681237
4,8,4000,-1,40.0,516106891312.5741
4,8,4000,-1,80.0,139838876648539.23
4,8,4000,1,5.0,92699.32071045424
4,8,4000,1,10.0,13991709.896128796
4,8,4000,1,20.0,2841293526.6101756
4,8,4000,1,40.0,648357924082.6234
4,8,4000,1,80.0,156737843530676.7
4,8,9000,-1,5.0,30820.494743307787
4,8,9000,-1,10.0,7393935.054461197
4,8,9000,-1,20.0,2060765712.1243205
4,8,9000,-1,40.0,551932743543.9451
4,8,9000,-1,80.0,144600135262597.84
4,8,9000,1,5.0,58372.38666705308
4,8,9000,1,10.0,10777995.608355977
4,8,9000,1,20.0,2489478423.501949
4,8,9000,1,40.0,606666573582.0227
4,8,9000,1,80.0,151601548036198.47
4,8,14000,-1,5.0,7974.6862486315895
4,8,14000,-1,10.0,2282173.6004421865
4,8,14000,-1,20.0,1160101045.9144878
4,8,14000,-1,40.0,415792767959.0092
4,8,14000,-1,80.0,125637859966702.03
4,8,14000,1,5.0,374900.0201317443
4,8,14000,1,10.0,30649672.946437508
4,8,14000,1,20.0,4273889199.949889
4,8,14000,1,40.0,798408588217.1815
4,8,14000,1,80.0,174107098227597.5
