ubicacion,magnitud_sigma,signo,t0,kappa_raw,kappa_lw,ventana_incluye_shock
5000,5,1,500,1325774.088688309,528.792281811897,False
5000,5,1,520,1305960.710228557,500.6545529120135,False
5000,5,1,540,1186923.14287032,474.84070747845715,False
5000,5,1,560,1156161.8345203444,441.253368507135,False
5000,5,1,580,1154175.2596399952,432.277981577876,False
5000,5,1,600,1288820.37931127,426.6693899102335,False
5000,5,1,620,1309889.396562995,433.51889391921725,False
5000,5,1,640,1297818.5070698853,450.098798504382,False
5000,5,1,660,1321691.721457214,469.1461666638669,False
5000,5,1,680,1233297.2639536501,471.2570644293379,False
5000,5,1,700,1289085.746666623,489.0808595073374,False
5000,5,1,720,1287592.9440684072,489.55488622892346,False
5000,5,1,740,1334367.116240565,495.0393094064758,False
5000,5,1,760,1334416.304101957,498.72761043108335,False
5000,5,1,780,1334828.1409537874,528.5369558028525,False
5000,5,1,800,1335534.2670224167,528.6076585787316,False
5000,5,1,820,1311291.4051162025,527.5251167951325,False
5000,5,1,840,1326303.661167265,524.6953196268022,False
5000,5,1,860,1281995.2038047388,529.7355179211597,False
5000,5,1,880,1321764.5164416847,557.233140153722,False
5000,5,1,900,1314375.7180605081,554.7886699409509,False
5000,5,1,920,1272767.1868124292,525.7961738875911,False
5000,5,1,940,1306940.9333282895,552.4439426635998,False
5000,5,1,960,1308505.5962289916,553.5068604128943,False
5000,5,1,980,1333778.7409596136,569.2534123634541,False
5000,5,1,1000,1282276.8893949674,562.4951648429847,False
5000,5,1,1020,1306449.9583380078,588.0215348553008,False
5000,5,1,1040,1501347.1093580548,630.3725308656216,False
5000,5,1,1060,1511003.6694635414,672.9054443325583,False
5000,5,1,1080,1564002.0401046078,715.3061781063176,False
5000,5,1,1100,1594086.9693149575,751.0829363288907,False
5000,5,1,1120,1562327.8695033384,748.8671399255861,False
5000,5,1,1140,1607736.3257921643,779.6903478720627,False
5000,5,1,1160,1586722.7691095145,750.6202822010847,False
5000,5,1,1180,1670616.76126296,788.4431610553166,False
5000,5,1,1200,1638677.036990613,743.8079363745583,False
5000,5,1,1220,1407208.2064125421,671.5102519624181,False
5000,5,1,1240,1406528.7758253077,700.4939499819226,False
5000,5,1,1260,1415488.533711439,726.2682121341733,False
5000,5,1,1280,1464961.471542545,745.6888257214537,False
5000,5,1,1300,1430550.4360504248,737.6535693710581,False
5000,5,1,1320,1353607.1740741483,736.7062885891083,False
5000,5,1,1340,1325316.3522250091,687.3844871461685,False
5000,5,1,1360,1336747.9975834414,651.1307972305963,False
5000,5,1,1380,1313332.019163859,618.1554353078259,False
5000,5,1,1400,1312992.1489728587,618.3833879772227,False
5000,5,1,1420,1305837.2102669773,620.3357102455847,False
5000,5,1,1440,1305383.0981501609,618.8979149804686,False
5000,5,1,1460,1307447.1048049221,620.1283810929933,False
5000,5,1,1480,1290658.320595605,618.4459837328455,False
5000,5,1,1500,1366822.0692162903,654.4251566913686,False
5000,5,1,1520,1334913.332811642,620.9026944455659,False
5000,5,1,1540,1337834.7757228217,616.1737220281108,False
5000,5,1,1560,1329818.53877459,585.1551057441642,False
5000,5,1,1580,1329531.2787134047,586.929550376952,False
5000,5,1,1600,1313256.634033827,575.6899328987703,False
5000,5,1,1620,1321122.1368648654,590.9184454619716,False
5000,5,1,1640,1321816.4530084722,591.2685051574755,False
5000,5,1,1660,1318119.7195371788,590.9446179418975,False
5000,5,1,1680,1342336.9531415075,597.3118561015565,False
5000,5,1,1700,1274277.1728225893,596.4067234051985,False
5000,5,1,1720,1465996.6593655103,630.0349893132295,False
5000,5,1,1740,1494012.4948085898,643.6777033890111,False
5000,5,1,1760,1456458.7622570575,615.7956841886504,False
5000,5,1,1780,1445970.3473680196,598.0171564573288,False
5000,5,1,1800,1484690.4766068102,606.892320909087,False
5000,5,1,1820,1559314.605102796,614.2089910218191,False
5000,5,1,1840,1606949.9528881907,653.0005057554708,False
5000,5,1,1860,1553906.1582695784,676.2541332097131,False
5000,5,1,1880,1530657.8042592392,673.6415254575959,False
5000,5,1,1900,1521087.068422218,639.4813462321307,False
5000,5,1,1920,1488224.1757777212,636.5125368214859,False
5000,5,1,1940,1509122.2352989537,673.3120421877812,False
5000,5,1,1960,1503068.6716779505,669.9535055758479,False
5000,5,1,1980,1505273.7504268577,631.2705435697312,False
5000,5,1,2000,1437798.5351511794,619.795656229468,False
5000,5,1,2020,1434446.209367942,616.575089031495,False
5000,5,1,2040,1425523.099002902,582.4939551880587,False
5000,5,1,2060,1460032.8202971737,619.8709906596761,False
5000,5,1,2080,1377341.425748517,587.7954343620002,False
5000,5,1,2100,1397699.4280253379,596.299180476828,False
5000,5,1,2120,1434361.2465364807,615.6660040095782,False
5000,5,1,2140,1280074.6666160033,609.6990675526657,False
5000,5,1,2160,1299259.1284941346,634.3611921612652,False
5000,5,1,2180,1331738.6601346137,671.9611013094346,False
5000,5,1,2200,1410889.675651012,702.7883106999492,False
5000,5,1,2220,1399592.4051444428,672.5392989598575,False
5000,5,1,2240,1322671.696542932,599.7319586673493,False
5000,5,1,2260,1346162.884080789,621.8525558048526,False
5000,5,1,2280,1330253.0149111769,589.5701753538235,False
5000,5,1,2300,1300587.4509225837,570.6903147538575,False
5000,5,1,2320,1338593.1175273277,591.7010774753901,False
