escenario,t0,kappa_raw,kappa_lw,ventana_incluye_shock
limpio,500,1325774.088688309,528.792281811897,False
limpio,520,1305960.710228557,500.6545529120135,False
limpio,540,1186923.14287032,474.84070747845715,False
limpio,560,1156161.8345203444,441.253368507135,False
limpio,580,1154175.2596399952,432.277981577876,False
limpio,600,1288820.37931127,426.6693899102335,False
limpio,620,1309889.396562995,433.51889391921725,False
limpio,640,1297818.5070698853,450.098798504382,False
limpio,660,1321691.721457214,469.1461666638669,False
limpio,680,1233297.2639536501,471.2570644293379,False
limpio,700,1289085.746666623,489.0808595073374,False
limpio,720,1287592.9440684072,489.55488622892346,False
limpio,740,1334367.116240565,495.0393094064758,False
limpio,760,1334416.304101957,498.72761043108335,False
limpio,780,1334828.1409537874,528.5369558028525,False
limpio,800,1335534.2670224167,528.6076585787316,False
limpio,820,1311291.4051162025,527.5251167951325,False
limpio,840,1326303.661167265,524.6953196268022,False
limpio,860,1281995.2038047388,529.7355179211597,False
limpio,880,1321764.5164416847,557.233140153722,False
limpio,900,1314375.7180605081,554.7886699409509,False
limpio,920,1272767.1868124292,525.7961738875911,False
limpio,940,1306940.9333282895,552.4439426635998,False
limpio,960,1308505.5962289916,553.5068604128943,False
limpio,980,1333778.7409596136,569.2534123634541,False
limpio,1000,1282276.8893949674,562.4951648429847,False
limpio,1020,1306449.9583380078,588.0215348553008,False
limpio,1040,1501347.1093580548,630.3725308656216,False
limpio,1060,1511003.6694635414,672.9054443325583,False
limpio,1080,1564002.0401046078,715.3061781063176,False
limpio,1100,1594086.9693149575,751.0829363288907,False
limpio,1120,1562327.8695033384,748.8671399255861,False
limpio,1140,1607736.3257921643,779.6903478720627,False
limpio,1160,1586722.7691095145,750.6202822010847,False
limpio,1180,1670616.76126296,788.4431610553166,False
limpio,1200,1638677.036990613,743.8079363745583,False
limpio,1220,1407208.2064125421,671.5102519624181,False
limpio,1240,1406528.7758253077,700.4939499819226,False
limpio,1260,1415488.533711439,726.2682121341733,False
limpio,1280,1464961.471542545,745.6888257214537,False
limpio,1300,1430550.4360504248,737.6535693710581,False
limpio,1320,1353607.1740741483,736.7062885891083,False
limpio,1340,1325316.3522250091,687.3844871461685,False
limpio,1360,1336747.9975834414,651.1307972305963,False
limpio,1380,1313332.019163859,618.1554353078259,False
limpio,1400,1312992.1489728587,618.3833879772227,False
limpio,1420,1305837.2102669773,620.3357102455847,False
limpio,1440,1305383.0981501609,618.8979149804686,False
limpio,1460,1307447.1048049221,620.1283810929933,False
limpio,1480,1290658.320595605,618.4459837328455,False
limpio,1500,1366822.0692162903,654.4251566913686,False
limpio,1520,1334913.332811642,620.9026944455659,False
limpio,1540,1337834.7757228217,616.1737220281108,False
limpio,1560,1329818.53877459,585.1551057441642,False
limpio,1580,1329531.2787134047,586.929550376952,False
limpio,1600,1313256.634033827,575.6899328987703,False
limpio,1620,1321122.1368648654,590.9184454619716,False
limpio,1640,1321816.4530084722,591.2685051574755,False
limpio,1660,1318119.7195371788,590.9446179418975,False
limpio,1680,1342336.9531415075,597.3118561015565,False
limpio,1700,1274277.1728225893,596.4067234051985,False
limpio,1720,1465996.6593655103,630.0349893132295,False
limpio,1740,1494012.4948085898,643.6777033890111,False
limpio,1760,1456458.7622570575,615.7956841886504,False
limpio,1780,1445970.3473680196,598.0171564573288,False
limpio,1800,1484690.4766068102,606.892320909087,False
limpio,1820,1559314.605102796,614.2089910218191,False
limpio,1840,1606949.9528881907,653.0005057554708,False
limpio,1860,1553906.1582695784,676.2541332097131,False
limpio,1880,1530657.8042592392,673.6415254575959,False
limpio,1900,1521087.068422218,639.4813462321307,False
limpio,1920,1488224.1757777212,636.5125368214859,False
limpio,1940,1509122.2352989537,673.3120421877812,False
limpio,1960,1503068.6716779505,669.9535055758479,False
limpio,1980,1505273.7504268577,631.2705435697312,False
limpio,2000,1437798.5351511794,619.795656229468,False
limpio,2020,1434446.209367942,616.575089031495,False
limpio,2040,1425523.099002902,582.4939551880587,False
limpio,2060,1460032.8202971737,619.8709906596761,False
limpio,2080,1377341.425748517,587.7954343620002,False
limpio,2100,1397699.4280253379,596.299180476828,False
limpio,2120,1434361.2465364807,615.6660040095782,False
limpio,2140,1280074.6666160033,609.6990675526657,False
limpio,2160,1299259.1284941346,634.3611921612652,False
limpio,2180,1331738.6601346137,671.9611013094346,False
limpio,2200,1410889.675651012,702.7883106999492,False
limpio,2220,1399592.4051444428,672.5392989598575,False
limpio,2240,1322671.696542932,599.7319586673493,False
limpio,2260,1346162.884080789,621.8525558048526,False
limpio,2280,1330253.0149111769,589.5701753538235,False
limpio,2300,1300587.4509225837,570.6903147538575,False
limpio,2320,1338593.1175273277,591.7010774753901,False
limpio,2340,1329511.0161401562,589.9988325135773,False
limpio,2360,1367221.3293556976,574.6852033608016,False
limpio,2380,1295136.4257413943,598.380954927689,False
limpio,2400,1301585.4599307799,626.0062542898137,False
limpio,2420,1390783.8152838596,667.1520173253217,False
limpio,2440,1365383.069068949,629.886780298374,False
limpio,2460,1117459.9341134971,612.4600781601104,False
limpio,2480,1122250.4782306643,634.427267410349,False
limpio,2500,1154620.4462542732,670.1173739455088,False
limpio,2520,1183017.8645436573,699.0263049692383,False
limpio,2540,1231795.0860977126,765.586522670033,False
limpio,2560,1224781.9655241147,762.4229804718221,False
limpio,2580,1260133.7807459456,772.6508553018338,False
limpio,2600,1228828.6746483538,753.99937280512,False
limpio,2620,1198225.0188329336,715.5830234099627,False
limpio,2640,1297163.2290755946,703.8352639115578,False
limpio,2660,1241179.4846610278,690.723805692049,False
limpio,2680,1177603.434829918,611.5557989431036,False
limpio,2700,1167193.2796860184,586.1062307835223,False
limpio,2720,1147948.5678102537,585.7795663843858,False
limpio,2740,1133525.833705365,610.3631943529656,False
limpio,2760,1148314.0898370615,619.2925612073991,False
limpio,2780,1180502.45851513,669.6595273091334,False
limpio,2800,1190875.7628666537,669.763913306348,False
limpio,2820,1174706.627112688,649.9196681973878,False
limpio,2840,1132850.934511574,626.9542547688035,False
limpio,2860,1127164.42627408,620.0775562881068,False
limpio,2880,1185493.7812104234,604.5602536743564,False
limpio,2900,1155658.2374257566,573.5645825081045,False
limpio,2920,1092237.7934805877,560.8053228403174,False
limpio,2940,1090295.4161125708,555.7445619079775,False
limpio,2960,1399822.3352355873,615.5688935902913,False
limpio,2980,1312667.3259397796,583.3942365511068,False
limpio,3000,1302954.0150804007,560.2990236862129,False
limpio,3020,1346804.268091011,600.535409504758,False
limpio,3040,1274834.6058033323,557.6588186142541,False
limpio,3060,1268780.7661319934,529.6631279583299,False
limpio,3080,1260935.196610493,535.77318660671,False
limpio,3100,1279312.779755109,543.7693925224065,False
limpio,3120,1265756.128301961,537.5750538497335,False
limpio,3140,1279560.1705545648,560.318426397648,False
limpio,3160,1318934.03264547,549.5864974824125,False
limpio,3180,1246638.1652287615,553.6977710157208,False
limpio,3200,1272584.6596199933,595.8753074790775,False
limpio,3220,1334726.9458272855,645.8218618348113,False
limpio,3240,1172390.2648833492,608.9419316635662,False
limpio,3260,1145787.332128163,602.0622876576248,False
limpio,3280,1122314.2626554465,600.5475240762946,False
limpio,3300,1131486.9129170394,614.824370821923,False
limpio,3320,1177058.6179578404,674.6534633901786,False
limpio,3340,1243272.5758210232,704.2176699766866,False
limpio,3360,1210133.611677822,721.660839787219,False
limpio,3380,1193039.73192333,713.908271953137,False
limpio,3400,1213505.368227496,716.4850879601288,False
limpio,3420,1237944.0168061554,700.3909064194854,False
limpio,3440,1246717.9064366212,710.7471909163877,False
limpio,3460,987324.3373878917,635.3874312685061,False
limpio,3480,1015312.452793635,658.6649768931901,False
limpio,3500,1018223.1228251845,681.1856818127787,False
limpio,3520,981731.8808176443,634.3034151022993,False
limpio,3540,1015295.1251870396,675.3500557185703,False
limpio,3560,1042889.1689865488,701.7682405468307,False
limpio,3580,1077562.2015840746,745.3625830059732,False
limpio,3600,1074722.0852076535,739.3502398312642,False
limpio,3620,1052947.5355028913,727.304563367629,False
limpio,3640,1064826.2725364324,738.8533934800914,False
limpio,3660,1127277.844105927,808.7902406305824,False
limpio,3680,1150111.3338781544,813.78923304722,False
limpio,3700,1145036.830523878,802.4297829254925,False
limpio,3720,1119836.8556466813,781.6887980452225,False
limpio,3740,1306936.3047417523,850.1734109381943,False
limpio,3760,1340454.7170254781,877.9498957803494,False
limpio,3780,1306416.4671076674,825.028755477251,False
limpio,3800,1289792.946742191,816.0592399994503,False
limpio,3820,1276357.2696303728,784.9858818304776,False
limpio,3840,1237691.5236736054,745.4621230790221,False
limpio,3860,1238752.3074464237,742.6288280892253,False
limpio,3880,1245383.98630632,747.823909194767,False
limpio,3900,1239659.6808760106,745.8941612791305,False
limpio,3920,1268571.7651110126,781.5405135444546,False
limpio,3940,1245583.8748832243,738.011445363661,False
limpio,3960,1236081.6490133815,727.2202090426628,False
limpio,3980,1232876.8670615125,692.6337402382445,False
limpio,4000,1210391.3870465066,630.0839803118714,False
limpio,4020,1201799.5274186034,593.7660107047963,False
limpio,4040,1175584.581458233,533.2480998849419,False
limpio,4060,1152103.0798527494,505.3359224930619,False
limpio,4080,1140735.87339744,509.77881275143716,False
limpio,4100,1142887.4000916707,502.51251174308015,False
limpio,4120,1185441.8595423913,502.35718897917803,False
limpio,4140,1189870.693259073,502.47334243006236,False
limpio,4160,1135730.8156524368,451.56888576981413,False
limpio,4180,1189754.8241598285,476.40961946239753,False
limpio,4200,1103092.3783182036,456.70923868097964,False
