ubicacion,magnitud_sigma,signo,kappa_shock,kappa_calma,ratio
5000,40,1,2348037.6408395576,1053201.7259108245,2.2294282121584446
5000,40,-1,2483165.5997098936,1053201.7259108245,2.357730279602813
5000,50,1,5774923.463345525,1053201.7259108245,5.483207367849008
5000,50,-1,6038248.143777711,1053201.7259108245,5.7332303918850345
5000,75,1,29506902.424746793,1053201.7259108245,28.016382520859228
5000,75,-1,30393630.555862553,1053201.7259108245,28.85831821969119
5000,100,1,93662556.82570785,1053201.7259108245,88.93126029081189
5000,100,-1,95762764.25258636,1053201.7259108245,90.92537725360192
5000,150,1,476142430.24831754,1053201.7259108245,452.0904386446409
5000,150,-1,483226591.59867096,1053201.7259108245,458.81674869149066
5000,200,1,1507870301.5915034,1053201.7259108245,1431.7013203595682
5000,200,-1,1524659025.031728,1053201.7259108245,1447.6419735385264
10000,40,1,1936975.8663525952,959346.2051761269,2.0190582460238997
10000,40,-1,2134755.0914814128,959346.2051761269,2.225218674930279
10000,50,1,4779129.608340496,959346.2051761269,4.981652694882024
10000,50,-1,5165979.187880858,959346.2051761269,5.384895629969614
10000,75,1,24531562.481232945,959346.2051761269,25.571125782197868
10000,75,-1,25839082.928256072,959346.2051761269,26.934054451710956
10000,100,1,78061210.25747184,959346.2051761269,81.36917604540953
10000,100,-1,81162111.85308169,959346.2051761269,84.60148319258853
10000,150,1,397849335.248054,959346.2051761269,414.70882263511186
10000,150,-1,408318748.48807967,959346.2051761269,425.62189362401887
10000,200,1,1261590594.8868897,959346.2051761269,1315.0524681079794
10000,200,-1,1286410013.1541088,959346.2051761269,1340.9236480149896
15000,40,1,2705083.372757162,1202182.3849103046,2.250143910533999
15000,40,-1,2700641.7839565407,1202182.3849103046,2.246449305741605
15000,50,1,6596253.140703526,1202182.3849103046,5.486898846214317
15000,50,-1,6587588.593173446,1202182.3849103046,5.479691497613276
15000,75,1,33352549.614069458,1202182.3849103046,27.743335813856486
15000,75,-1,33323321.40111153,1202182.3849103046,27.719023185985044
15000,100,1,105362293.6872698,1202182.3849103046,87.6425199784731
15000,100,-1,105293004.01036765,1202182.3849103046,87.5848834020502
15000,150,1,533206504.7040334,1202182.3849103046,443.5321224107074
15000,150,-1,532972597.94561905,1202182.3849103046,443.33755396472924
15000,200,1,1684958512.3797693,1202182.3849103046,1401.5830988119867
15000,200,-1,1684403998.2583327,1202182.3849103046,1401.12184257633
20000,40,1,2597412.9981733165,1318307.510430168,1.97026336998245
20000,40,-1,2865837.3780769217,1318307.510430168,2.173876243139804
20000,50,1,6409172.079370819,1318307.510430168,4.861666969703818
20000,50,-1,6930807.225170608,1318307.510430168,5.257352454063668
20000,75,1,32897558.40215435,1318307.510430168,24.954388973646804
20000,75,-1,34649117.62639512,1318307.510430168,26.283031350620924
20000,100,1,104676516.26731005,1318307.510430168,79.40219974408988
20000,100,-1,108820820.98195744,1318307.510430168,82.54585528868667
20000,150,1,533462137.49858665,1318307.510430168,404.65682951659454
20000,150,-1,547430873.9557477,1318307.510430168,415.252791647314
20000,200,1,1691565575.1216688,1318307.510430168,1283.1342928249765
20000,200,-1,1724661449.5917742,1318307.510430168,1308.2391141267274
25000,40,1,2078561.181144721,1185506.3205731108,1.753310922998605
25000,40,-1,2126728.0999432085,1185506.3205731108,1.7939407517583557
25000,50,1,5087471.893657524,1185506.3205731108,4.2913916234525695
25000,50,-1,5182164.503136639,1185506.3205731108,4.371266869864868
25000,75,1,25842341.71242284,1185506.3205731108,21.798569323468342
25000,75,-1,26164007.839513887,1185506.3205731108,22.06990159855528
25000,100,1,81810533.8672588,1185506.3205731108,69.0089394274246
25000,100,-1,82574743.3170747,1185506.3205731108,69.6535664838594
25000,150,1,414844688.1945312,1185506.3205731108,349.93038923148237
25000,150,-1,417428116.33808887,1185506.3205731108,352.1095662621951
25000,200,1,1312173348.875154,1185506.3205731108,1106.8463542571485
25000,200,-1,1318300510.6506925,1185506.3205731108,1112.0147465880948
