horizon,tau_lyapunov,esn_lag_median,esn_lag_p25,esn_lag_p75,static_lag_median,static_lag_p25,static_lag_p75,ridge_median,ridge_p25,ridge_p75,ols_median,ols_p25,ols_p75,esn_wins_vs_ridge_seeds
1,0.04528,0.026792597689841297,0.012092074123574676,0.051993598737446814,0.015519248817925498,0.006491644488705385,0.032494175007572595,0.23879268859257957,0.11367447308207268,0.38430868308801713,0.24020704126136644,0.118132565412346,0.3804231068052502,30/30
2,0.09056,0.06166723322773131,0.028047114444066705,0.1206903874514351,0.03361906565499884,0.013250547258724507,0.07430190895857128,0.5288338229179202,0.26612223948133684,0.8306934700238194,0.5254102011619532,0.27228629478025945,0.8256025497192714,30/30
3,0.13584000000000002,0.1132666150720974,0.05123703356191832,0.2265311807758457,0.0607607037931773,0.023019005735699715,0.1368246350031757,0.8449392746382798,0.4590156938762387,1.3890490500456323,0.8648474311093465,0.46666742808780587,1.3836306948623038,30/30
5,0.2264,0.25885356662790354,0.11639664268154533,0.5315844543584253,0.14739133395520038,0.052401084304986745,0.32259897671112747,1.5242759510648947,0.8542708737574551,2.513995356882263,1.6041860838772737,0.8999049485343578,2.5552457655590417,30/30
8,0.36224,0.5200352289691563,0.2459569996248725,1.1246049945150551,0.3164341149238585,0.1360959873897443,0.6042986931666261,2.277740655345645,1.2356583626533517,3.520384653713786,2.264060921301527,1.2844885022240857,3.52376867721572,30/30
10,0.4528,0.7436072017539201,0.3505694925856529,1.6274345211655858,0.4325571447720834,0.21816940444654861,0.7888793118770004,2.530203146236896,1.5435080469345206,3.692150995338608,2.500218187791522,1.606974113141521,3.732723359789993,30/30
15,0.6792,1.5370760866431556,0.7351267078148814,3.278111522138497,0.7987472709434102,0.4702435800403321,1.41615779343394,2.643034422831247,2.0546740470803186,3.7631589012763373,2.6429019137664267,1.9933710305532362,3.8222825638735745,25/30
20,0.9056,2.598301579927047,1.3028079581510879,4.638999838199244,1.2883381380993248,0.7155678068439066,2.328141282471223,2.9191310077326222,2.2007495978634144,3.994812519135286,2.915143524490629,2.147973830813366,4.165366909281097,19/30
30,1.3584,4.194709986923298,2.5865713587552968,6.390498536715896,2.0754465279012937,1.1425933789086917,3.6092388511046707,3.267344850422167,2.639205784891969,3.873709814003899,3.3885684229280675,2.5508001723020572,3.987333570847279,7/30
40,1.8112,5.281817227416456,3.5468280121693248,8.086066564446027,3.042903294229238,1.748578873126018,4.003852405521467,3.415303861100392,2.953661055041393,3.891508512058735,3.464699205571591,2.8926166816759795,3.966751017863763,1/30
