regime,location,sign,n_seeds,ssrc_lag_median,static_lag_median,ridge_median,ols_median,win_vs_static,win_vs_ridge,win_vs_ols,boot_diff_vs_static_mean,boot_diff_vs_static_ci_low,boot_diff_vs_static_ci_high,boot_diff_vs_ridge_mean,boot_diff_vs_ridge_ci_low,boot_diff_vs_ridge_ci_high,boot_diff_vs_ols_mean,boot_diff_vs_ols_ci_low,boot_diff_vs_ols_ci_high
shock_15sigma,5000,-1,30,0.2911864400842544,0.4113181063974871,0.022700146767041893,0.013861670493448467,"25/30 (83.3%) [0.65,0.94]","1/30 (3.3%) [0.00,0.17]","0/30 (0.0%) [0.00,0.12]",-0.12391105454039027,-0.1813554839566041,-0.07170873589448568,0.26453474034802865,0.21723796857778715,0.3115131385820829,0.27378882660456855,0.2213890916598149,0.3209653957128081
shock_15sigma,5000,1,30,0.23682495824529098,0.2394810313418052,0.2438341405437119,0.24379317406963277,"16/30 (53.3%) [0.34,0.72]","16/30 (53.3%) [0.34,0.72]","16/30 (53.3%) [0.34,0.72]",-0.017873654353329407,-0.051173232720372365,0.01436261824886856,-0.02014159608109558,-0.05286636643820156,0.010436404316393977,-0.02037729008400875,-0.05118816169693406,0.009496813534958657
shock_15sigma,10000,-1,30,5.123372208275679,1.1132328556058395,0.24855386961862366,0.24857308015003227,"0/30 (0.0%) [0.00,0.12]","0/30 (0.0%) [0.00,0.12]","0/30 (0.0%) [0.00,0.12]",4.293606777416475,3.8274274688923735,4.793999846575257,5.222959853248991,4.740329901418011,5.749258052861834,5.21555744452485,4.736437447803838,5.7285886999655
shock_15sigma,10000,1,30,5.307414474364064,0.6334199216576886,0.34704329304501175,0.34867291655444765,"0/30 (0.0%) [0.00,0.12]","0/30 (0.0%) [0.00,0.12]","0/30 (0.0%) [0.00,0.12]",4.824624197354391,4.375593839746848,5.313378925195051,5.102943333802931,4.649054445152652,5.567673346779589,5.10604467596237,4.63300681371566,5.603474508236744
shock_15sigma,15000,-1,30,0.16845246870500638,0.17539310311244594,0.6554933182965756,0.24387432756785718,"18/30 (60.0%) [0.41,0.77]","30/30 (100.0%) [0.88,1.00]","22/30 (73.3%) [0.54,0.88]",5.788793009977963e-06,-0.04417025146863529,0.04888937128779031,-0.48088637105740883,-0.5256119931725777,-0.4344473178239398,-0.06985758833417813,-0.11563101364789366,-0.02289023795015578
shock_15sigma,15000,1,30,0.462058444112343,0.4370383034888808,0.4570083343000183,0.10575231419870136,"11/30 (36.7%) [0.20,0.56]","15/30 (50.0%) [0.31,0.69]","0/30 (0.0%) [0.00,0.12]",0.026885350543870087,-0.01607683768069402,0.06826473211215234,0.009473767499353667,-0.03892126567629914,0.062313530535983895,0.3612825118468355,0.31051319739643385,0.4104837946854687
shock_15sigma,20000,-1,30,0.05078352958929869,0.1214148126208657,0.31566282843039106,0.32489405486170914,"24/30 (80.0%) [0.61,0.92]","30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]",-0.0499859673048411,-0.07766839364152901,-0.018785710935196463,-0.252605238435549,-0.2705056051543502,-0.23281601352037498,-0.26175676531652914,-0.2805224318262556,-0.24155845170823217
shock_15sigma,20000,1,30,0.055919653537796224,0.03475955828874437,0.3809460400428022,0.38093237504939487,"12/30 (40.0%) [0.23,0.59]","30/30 (100.0%) [0.88,1.00]","30/30 (100.0%) [0.88,1.00]",0.03505689391474408,0.009012933039975819,0.05977179429208823,-0.30412278816289723,-0.3266685010623448,-0.27907392009163107,-0.30403845252748446,-0.32708475037028867,-0.2784393174444962
shock_15sigma,25000,-1,30,0.1428439341122707,0.01222732965472309,0.34537658190870935,0.34131348429491176,"1/30 (3.3%) [0.00,0.17]","25/30 (83.3%) [0.65,0.94]","25/30 (83.3%) [0.65,0.94]",0.18647309300445333,0.13228489932169885,0.24380107152573272,-0.1472422520144687,-0.2004617719808996,-0.08900912285909808,-0.14241128389037805,-0.19848445199431392,-0.0830814502419259
shock_15sigma,25000,1,30,0.15919623261853866,0.010080317461276057,0.2856779266332544,0.28137645486046253,"1/30 (3.3%) [0.00,0.17]","29/30 (96.7%) [0.83,1.00]","29/30 (96.7%) [0.83,1.00]",0.13998197225716216,0.10942835934993157,0.17282862140588615,-0.1336477246540351,-0.16344720740322158,-0.09931541080364409,-0.12897872255838155,-0.15864957986553999,-0.09732198022605515
