nivel_ruido,variante,semilla,mode,mase_mediana,lambda_mediana,lambda_relativa_mediana,n_ventanas
0.0,target_limpio,0,naive,0.8613705680415826,,,1475
0.0,target_limpio,0,nnls,0.8736639598802906,,,1475
0.0,target_limpio,0,ols,0.25234635732006794,,,1475
0.0,target_limpio,0,ridge,0.2521894171601524,0.09006103415084116,0.0001,1475
0.0,target_limpio,0,ssrc,0.08862927033387505,0.022427432916111212,0.0001,1475
0.0,target_ruidoso,0,naive,0.8613705680415826,,,1475
0.0,target_ruidoso,0,nnls,0.8736639598802906,,,1475
0.0,target_ruidoso,0,ols,0.25234635732006794,,,1475
0.0,target_ruidoso,0,ridge,0.2521894171601524,0.09006103415084116,0.0001,1475
0.0,target_ruidoso,0,ssrc,0.08862927033387505,0.022427432916111212,0.0001,1475
0.01,target_limpio,0,naive,0.8613705680415826,,,1475
0.01,target_limpio,0,nnls,0.8871266508650002,,,1475
0.01,target_limpio,0,ols,0.2624254636541747,,,1475
0.01,target_limpio,0,ridge,0.26303925940929623,0.08028471110792788,0.0001,1475
0.01,target_limpio,0,ssrc,0.10839680191566894,0.02272194948963717,0.0001,1475
0.01,target_limpio,1,naive,0.8613705680415826,,,1475
0.01,target_limpio,1,nnls,0.8742099120707121,,,1475
0.01,target_limpio,1,ols,0.2621348275357128,,,1475
0.01,target_limpio,1,ridge,0.26084195306968383,0.077017580027091,0.0001,1475
0.01,target_limpio,1,ssrc,0.11636817976086913,0.022520177046315294,0.0001,1475
0.01,target_limpio,2,naive,0.8613705680415826,,,1475
0.01,target_limpio,2,nnls,0.8722265368582889,,,1475
0.01,target_limpio,2,ols,0.261310791602378,,,1475
0.01,target_limpio,2,ridge,0.2646732547599239,0.08308206165111943,0.0001,1475
0.01,target_limpio,2,ssrc,0.10954793517895148,0.022714643096592945,0.0001,1475
0.01,target_limpio,3,naive,0.8613705680415826,,,1475
0.01,target_limpio,3,nnls,0.8707359210735132,,,1475
0.01,target_limpio,3,ols,0.27128644850517386,,,1475
0.01,target_limpio,3,ridge,0.2721305088523219,0.08543849027473452,0.0001,1475
0.01,target_limpio,3,ssrc,0.11420336686797956,0.022684343101984552,0.0001,1475
0.01,target_limpio,4,naive,0.8613705680415826,,,1475
0.01,target_limpio,4,nnls,0.8761841676602802,,,1475
0.01,target_limpio,4,ols,0.25738403637579865,,,1475
0.01,target_limpio,4,ridge,0.2540013561665242,0.08393590356751675,0.0001,1475
0.01,target_limpio,4,ssrc,0.11151157438671933,0.022725422614167295,0.0001,1475
0.01,target_ruidoso,0,naive,0.8546640145231246,,,1475
0.01,target_ruidoso,0,nnls,0.8853689125359276,,,1475
0.01,target_ruidoso,0,ols,0.2674335035440255,,,1475
0.01,target_ruidoso,0,ridge,0.26747275384543256,0.07720896232561258,0.0001,1475
0.01,target_ruidoso,0,ssrc,0.11417371659097615,0.02270870410764103,0.0001,1475
0.01,target_ruidoso,1,naive,0.8720401133938337,,,1475
